,T_C,sample_id,mineralogy,reference,mu_nu,sig_nu,mu_std,sig_std,rmse,res_inv,rgh_inv,omega,SN,npt
24,430.0,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),Stolper & Eiler (2015),-24.35930623845747,13.642405507318175,30.892970302196037,19.169399396230297,0.020364074655914135,0.019942840430273227,0.0001939429293070972,37.77297646467455,3.1868131868131897,5
25,536.0,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),Stolper & Eiler (2015),-5.745930354820972,0.9774564903210681,0.12704610075078304,0.2673204631095681,0.0104993637082826,0.008163086826399282,0.007277757412135421,0.44085452418341203,16.23287671232877,5
26,692.0,Siilinjarvi carbonatite Apatite,Apatite (carbonate group),Stolper & Eiler (2015),8.963400992544614,9.949036599311727,4.411020970597621,3.4157420988539737,0.009425427978397995,0.008876117443913123,0.00038288415393439626,14.267977510008572,17.581395348837212,6
27,385.0,MGB-CC-1 (hydrothermal),Calcite,Brenner et al. (2018),-10.498010966974125,4.7420587096511895,0.296662857494298,0.5286420957929102,0.0061121180169367555,0.006033915555112494,0.0009430957607180759,2.13235279816976,9.117117117117113,8
28,405.0,MGB-CC-1 (hydrothermal),Calcite,Brenner et al. (2018),-7.76792093774355,2.6509666131034524,0.14124114074554942,0.37806747568417365,0.013127044314871729,0.008416182234828472,0.00510143768672287,0.42088269902088926,18.343434343434343,8
29,425.0,MGB-CC-1 (hydrothermal),Calcite,Brenner et al. (2018),-6.708498903682093,2.410932719064837,0.20472188821176418,0.39142554668146917,0.01722432565394086,0.004522080432604746,0.01279687711504577,0.12037516980200687,19.789473684210527,8
30,449.9999999999999,MGB-CC-1 (hydrothermal),Calcite,Brenner et al. (2018),-5.1040766467510394,1.7417962384710972,0.1343298372436313,0.21255999236445544,0.00858530641888238,0.0013284814492147963,0.009390263311323404,0.10971561867027267,24.9876404494382,7
33,485.9999999999999,Eugui dolomite,Dolomite,Lloyd et al. (2018),-8.226336137339434,1.756677029365409,0.20863891818639752,0.36882276971055206,0.012305868384065641,0.00980692142161472,0.002444504830044194,2.6886248066529412,14.875000000000002,7
34,510.9999999999999,Eugui dolomite,Dolomite,Lloyd et al. (2018),-6.532685579570242,2.4015387548926017,0.32091789284637123,0.6762955788626301,0.010969117991449612,0.010026887175078863,0.002263681890588904,2.4505397127942565,19.173913043478258,7
35,563.0,Eugui dolomite,Dolomite,Lloyd et al. (2018),-3.6590320658251803,2.5210479546601037,0.10392176274030279,0.1740060644901955,0.0034798184693288644,0.00306454093615518,0.002259084761971411,0.70087018240569,13.818181818181818,5
36,614.0,Eugui dolomite,Dolomite,Lloyd et al. (2018),-2.6819317337497206,1.1223593512476404,0.11745160016024218,0.3155578600178657,0.010751698115097678,0.0058626598977651245,0.019449808762698997,0.13207036227366312,24.52173913043478,8
37,717.0,Eugui dolomite,Dolomite,Lloyd et al. (2018),10.780449659505788,6.636945814384994,19.768445837651782,8.962420475581519,0.014147225887802073,0.011619177845855647,0.0005004242959092083,10.31389768378721,17.999999999999996,4
38,200.00000000000006,Tazouta aragonite,Aragonite,Chen et al. (2019),-29.208731201621685,20.137508414614228,15.117259301524301,4.034962016751318,0.034130638138193434,0.028003313956377427,0.0002526363420718509,23.759589128427628,3.76744186046512,6
39,300.0,Tazouta aragonite,Aragonite,Chen et al. (2019),-27.733288873185735,20.01227021915372,14.18711296645407,4.64464879273918,0.040161055822498556,0.034066409378311645,0.0002513956734469481,21.655612406317545,4.3125,6
40,400.0,Tazouta aragonite,Aragonite,Chen et al. (2019),-1.9184016162727193,26.2043421977911,5.184024634205738,21.66109923121079,0.07068578559412857,0.04605803741513339,0.0002897910148236557,18.843769586593098,10.58385093167702,6
41,350.0,Tazouta aragonite,Aragonite,Chen et al. (2019),-21.428572218181273,21.525444236837558,18.370662722600784,11.593012806962399,0.0457934261215231,0.044989677379441075,0.00013581723275190975,91.14472598521185,7.721393034825873,8
42,349.9999999999999,Tazouta aragonite,Aragonite,Chen et al. (2019),-11.764301884951502,6.124638084685984,1.6275856387372967,2.252646639410132,0.027857422200446975,0.028998620441193484,0.00032200454009055006,12.415371850064105,10.022222222222226,11
