t_Myr,T_C
0.00016897,550
0.0001705,550
0.00017204,550
0.0001736,550
0.00017517,550
0.00017675,550
0.00017835,550
0.00017996,550
0.00018159,550
0.00018323,550
0.00018489,550
0.00018656,550
0.00018824,550
0.00018995,550
0.00019166,550
0.0001934,550
0.00019514,550
0.00019691,550
0.00019869,550
0.00020048,550
0.0002023,550
0.00020413,550
0.00020597,550
0.00020783,550
0.00020971,550
0.00021161,550
0.00021352,550
0.00021545,550
0.0002174,550
0.00021936,550
0.00022135,550
0.00022335,550
0.00022537,550
0.0002274,550
0.00022946,550
0.00023153,550
0.00023363,550
0.00023574,550
0.00023787,550
0.00024002,550
0.00024219,550
0.00024438,550
0.00024659,550
0.00024882,550
0.00025107,550
0.00025334,550
0.00025563,550
0.00025794,550
0.00026027,550
0.00026262,550
0.000265,550
0.00026739,550
0.00026981,550
0.00027225,550
0.00027471,550
0.00027719,550
0.0002797,550
0.00028223,550
0.00028478,550
0.00028735,550
0.00028995,550
0.00029257,550
0.00029522,550
0.00029789,550
0.00030058,550
0.0003033,550
0.00030604,550
0.00030881,550
0.0003116,550
0.00031441,550
0.00031726,550
0.00032012,550
0.00032302,550
0.00032594,550
0.00032889,550
0.00033186,550
0.00033486,550
0.00033789,550
0.00034094,550
0.00034402,550
0.00034713,550
0.00035027,550
0.00035344,550
0.00035663,550
0.00035986,550
0.00036311,550
0.00036639,550
0.0003697,550
0.00037305,550
0.00037642,550
0.00037982,550
0.00038326,550
0.00038672,550
0.00039022,550
0.00039374,550
0.0003973,550
0.00040089,550
0.00040452,550
0.00040818,550
0.00041187,550
0.00041559,550
0.00041935,550
0.00042314,550
0.00042696,550
0.00043082,550
0.00043472,550
0.00043865,550
0.00044261,550
0.00044661,550
0.00045065,550
0.00045473,550
0.00045884,550
0.00046298,550
0.00046717,550
0.00047139,550
0.00047565,550
0.00047995,550
0.00048429,550
0.00048867,550
0.00049309,550
0.00049755,550
0.00050204,550
0.00050658,550
0.00051116,550
0.00051578,550
0.00052045,550
0.00052515,550
0.0005299,550
0.00053469,550
0.00053952,550
0.0005444,550
0.00054932,550
0.00055429,550
0.0005593,550
0.00056435,550
0.00056946,550
0.0005746,550
0.0005798,550
0.00058504,550
0.00059033,550
0.00059567,550
0.00060105,550
0.00060648,549.99
0.00061197,549.99
0.0006175,549.99
0.00062308,549.99
0.00062871,549.99
0.0006344,549.99
0.00064013,549.99
0.00064592,549.99
0.00065176,549.99
0.00065765,549.99
0.0006636,549.99
0.0006696,549.99
0.00067565,549.99
0.00068176,549.98
0.00068792,549.98
0.00069414,549.98
0.00070041,549.98
0.00070675,549.98
0.00071313,549.98
0.00071958,549.97
0.00072609,549.97
0.00073265,549.97
0.00073927,549.97
0.00074596,549.97
0.0007527,549.96
0.00075951,549.96
0.00076637,549.96
0.0007733,549.95
0.00078029,549.95
0.00078734,549.95
0.00079446,549.94
0.00080164,549.94
0.00080889,549.93
0.0008162,549.93
0.00082358,549.92
0.00083103,549.92
0.00083854,549.91
0.00084612,549.91
0.00085377,549.9
0.00086149,549.89
0.00086928,549.89
0.00087713,549.88
0.00088506,549.87
0.00089306,549.86
0.00090114,549.85
0.00090928,549.84
0.0009175,549.83
0.0009258,549.82
0.00093417,549.81
0.00094261,549.8
0.00095113,549.79
0.00095973,549.77
0.00096841,549.76
0.00097716,549.75
0.000986,549.73
0.00099491,549.71
0.0010039,549.7
0.001013,549.68
0.0010221,549.66
0.0010314,549.64
0.0010407,549.62
0.0010501,549.6
0.0010596,549.58
0.0010692,549.55
0.0010788,549.53
0.0010886,549.5
0.0010984,549.48
0.0011084,549.45
0.0011184,549.42
0.0011285,549.39
0.0011387,549.35
0.001149,549.32
0.0011594,549.29
0.0011699,549.25
0.0011804,549.21
0.0011911,549.17
0.0012019,549.13
0.0012127,549.09
0.0012237,549.04
0.0012348,549
0.0012459,548.95
0.0012572,548.9
0.0012686,548.85
0.00128,548.79
0.0012916,548.74
0.0013033,548.68
0.0013151,548.62
0.001327,548.56
0.0013389,548.49
0.0013511,548.42
0.0013633,548.35
0.0013756,548.28
0.001388,548.21
0.0014006,548.13
0.0014132,548.05
0.001426,547.97
0.0014389,547.88
0.0014519,547.8
0.001465,547.71
0.0014783,547.61
0.0014916,547.51
0.0015051,547.41
0.0015187,547.31
0.0015325,547.21
0.0015463,547.1
0.0015603,546.98
0.0015744,546.87
0.0015886,546.75
0.001603,546.62
0.0016175,546.5
0.0016321,546.37
0.0016469,546.23
0.0016618,546.09
0.0016768,545.95
0.0016919,545.81
0.0017072,545.66
0.0017227,545.5
0.0017382,545.34
0.0017539,545.18
0.0017698,545.01
0.0017858,544.84
0.0018019,544.67
0.0018182,544.49
0.0018347,544.3
0.0018513,544.11
0.001868,543.92
0.0018849,543.72
0.0019019,543.52
0.0019191,543.31
0.0019365,543.1
0.001954,542.88
0.0019716,542.66
0.0019895,542.43
0.0020074,542.2
0.0020256,541.96
0.0020439,541.71
0.0020624,541.46
0.002081,541.21
0.0020998,540.95
0.0021188,540.68
0.002138,540.41
0.0021573,540.14
0.0021768,539.85
