Time/Myr,Avg_T/Celsius,Min_T/Celsius,Max_T/Celsius,2xAvg_T/Celsius
120,88.2,83.79,92.61,
120.5,88.38,83.961,92.799,
121,88.56,84.132,92.988,
121.5,88.74,84.303,93.177,
122,88.92,84.474,93.366,
122.5,89.1,84.645,93.555,
123,89.28,84.816,93.744,
123.5,89.46,84.987,93.933,
124,89.64,85.158,94.122,
124.5,89.82,85.329,94.311,
125,90,85.5,94.5,
125.5,90.18,85.671,94.689,
126,90.36,85.842,94.878,
126.5,90.54,86.013,95.067,
127,90.72,86.184,95.256,
127.5,90.9,86.355,95.445,
128,91.08,86.526,95.634,
128.5,91.26,86.697,95.823,
129,91.44,86.868,96.012,
129.5,91.62,87.039,96.201,
130,91.8,87.21,96.39,
130.5,91.98,87.381,96.579,
131,92.16,87.552,96.768,
131.5,92.34,87.723,96.957,
132,92.52,87.894,97.146,
132.5,92.7,88.065,97.335,
133,92.88,88.236,97.524,
133.5,93.06,88.407,97.713,
134,93.24,88.578,97.902,
134.5,93.42,88.749,98.091,
135,93.6,88.92,98.28,
135.5,93.78,89.091,98.469,
136,93.96,89.262,98.658,
136.5,94.14,89.433,98.847,
137,94.32,89.604,99.036,
137.5,94.5,89.775,99.225,
138,94.68,89.946,99.414,
138.5,94.86,90.117,99.603,
139,95.04,90.288,99.792,
139.5,95.22,90.459,99.981,
140,95.4,90.63,100.17,
140.5,95.58,90.801,100.359,
141,95.76,90.972,100.548,
141.5,95.94,91.143,100.737,
142,96.12,91.314,100.926,
142.5,96.3,91.485,101.115,
143,96.48,91.656,101.304,
143.5,96.66,91.827,101.493,
144,96.84,91.998,101.682,
144.5,97.02,92.169,101.871,
145,97.2,92.34,102.06,
145.5,97.38,92.511,102.249,
146,97.56,92.682,102.438,
146.5,97.74,92.853,102.627,
147,97.92,93.024,102.816,
147.5,98.1,93.195,103.005,
148,98.28,93.366,103.194,
148.5,98.46,93.537,103.383,
149,98.64,93.708,103.572,
149.5,98.82,93.879,103.761,
150,99,94.05,103.95,
150.5,99.18,94.221,104.139,
151,99.36,94.392,104.328,
151.5,99.54,94.563,104.517,
152,99.72,94.734,104.706,
152.5,99.9,94.905,104.895,
153,100.08,95.076,105.084,
153.5,100.26,95.247,105.273,
154,100.44,95.418,105.462,
154.5,100.62,95.589,105.651,
155,100.8,95.76,105.84,
155.5,100.98,95.931,106.029,
156,101.16,96.102,106.218,
156.5,101.34,96.273,106.407,
157,101.52,96.444,106.596,
157.5,101.7,96.615,106.785,
158,101.88,96.786,106.974,
158.5,102.06,96.957,107.163,
159,102.24,97.128,107.352,
159.5,102.42,97.299,107.541,
160,102.6,97.47,107.73,
160.5,102.78,97.641,107.919,
161,102.96,97.812,108.108,
161.5,103.14,97.983,108.297,
162,103.32,98.154,108.486,
162.5,103.5,98.325,108.675,
163,103.68,98.496,108.864,
163.5,103.86,98.667,109.053,
164,104.04,98.838,109.242,
164.5,104.22,99.009,109.431,
165,104.4,99.18,109.62,
165.5,104.58,99.351,109.809,
166,104.76,99.522,109.998,
166.5,104.94,99.693,110.187,
167,105.12,99.864,110.376,
167.5,105.3,100.035,110.565,
168,105.48,100.206,110.754,
168.5,105.66,100.377,110.943,
169,105.84,100.548,111.132,
169.5,106.02,100.719,111.321,
170,106.2,100.89,111.51,
170.5,106.38,101.061,111.699,
171,106.56,101.232,111.888,
171.5,106.74,101.403,112.077,
172,106.92,101.574,112.266,
